station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_direction_deg;pluie_1h_mm;pleut_il
000CT;01/10/2025 00:00;13.5;1028.0;78.0;9.7;6.4;338.0;0.0;0
000CT;01/10/2025 01:00;13.1;1028.0;80.0;9.7;4.8;24.0;0.0;0
000CT;01/10/2025 02:00;13.1;1027.9;80.0;9.7;4.8;20.0;0.0;0
000CT;01/10/2025 03:00;12.8;1027.8;81.0;9.7;4.8;50.0;0.0;0
000CT;01/10/2025 04:00;12.4;1027.9;83.0;9.6;4.8;21.0;0.0;0
000CT;01/10/2025 05:00;12.2;1028.3;83.0;9.4;3.2;350.0;0.0;0
000CT;01/10/2025 06:00;12.1;1028.7;84.0;9.4;3.2;346.0;0.0;0
000CT;01/10/2025 07:00;12.2;1029.0;84.0;9.6;1.6;316.0;0.0;0
000CT;01/10/2025 08:00;12.9;1029.2;82.0;9.9;3.2;329.0;0.0;0
000CT;01/10/2025 09:00;14.2;1029.4;78.0;10.4;4.8;16.0;0.0;0
000CT;01/10/2025 10:00;16.3;1029.6;70.0;10.8;3.2;331.0;0.0;0
000CT;01/10/2025 11:00;17.7;1029.3;61.0;10.1;3.2;126.0;0.0;0
000CT;01/10/2025 12:00;18.7;1029.1;52.0;8.6;3.2;144.0;0.0;0
000CT;01/10/2025 13:00;19.7;1028.8;50.0;9.0;3.2;339.0;0.0;0
000CT;01/10/2025 14:00;19.7;1028.6;51.0;9.3;4.8;69.0;0.0;0
000CT;01/10/2025 15:00;19.9;1028.4;51.0;9.4;3.2;94.0;0.0;0
000CT;01/10/2025 16:00;19.2;1028.3;54.0;9.7;6.4;95.0;0.0;0
000CT;01/10/2025 17:00;18.8;1028.4;55.0;9.5;3.2;13.0;0.0;0
000CT;01/10/2025 18:00;18.2;1028.7;59.0;10.0;3.2;106.0;0.0;0
000CT;01/10/2025 19:00;17.5;1028.9;62.0;10.1;1.6;98.0;0.0;0
000CT;01/10/2025 20:00;17.2;1029.0;65.0;10.5;1.6;139.0;0.0;0
000CT;01/10/2025 21:00;16.9;1029.0;65.0;10.3;0.0;99.0;0.0;0
000CT;01/10/2025 22:00;16.7;1028.7;66.0;10.3;4.8;159.0;0.0;0
000CT;01/10/2025 23:00;15.9;1028.6;71.0;10.6;0.0;138.0;0.0;0
000CT;02/10/2025 00:00;15.3;1028.6;73.0;10.5;0.0;148.0;0.0;0
000CT;02/10/2025 01:00;14.9;1028.8;74.0;10.3;0.0;149.0;0.0;0
000CT;02/10/2025 02:00;14.4;1028.3;73.0;9.6;1.6;140.0;0.0;0
000CT;02/10/2025 03:00;13.8;1028.1;76.0;9.6;1.6;140.0;0.0;0
000CT;02/10/2025 04:00;13.3;1028.1;77.0;9.3;1.6;143.0;0.0;0
000CT;02/10/2025 05:00;13.0;1028.2;77.0;9.1;0.0;159.0;0.0;0
000CT;02/10/2025 06:00;12.4;1028.4;77.0;8.5;0.0;173.0;0.0;0
000CT;02/10/2025 07:00;12.8;1028.9;73.0;8.1;1.6;115.0;0.0;0
000CT;02/10/2025 08:00;13.8;1029.0;68.0;8.0;4.8;143.0;0.0;0
000CT;02/10/2025 09:00;15.6;1028.8;59.0;7.6;4.8;271.0;0.0;0
000CT;02/10/2025 10:00;16.9;1028.3;49.0;6.1;4.8;74.0;0.0;0
000CT;02/10/2025 11:00;17.5;1027.6;47.0;6.1;6.4;157.0;0.0;0
000CT;02/10/2025 12:00;18.6;1027.3;44.0;6.1;3.2;136.0;0.0;0
000CT;02/10/2025 13:00;19.2;1026.7;42.0;5.9;3.2;59.0;0.0;0
000CT;02/10/2025 14:00;18.9;1026.0;43.0;6.0;4.8;55.0;0.0;0
000CT;02/10/2025 15:00;18.6;1025.3;45.0;6.4;3.2;177.0;0.0;0
000CT;02/10/2025 16:00;17.8;1025.1;45.0;5.7;4.8;153.0;0.0;0
000CT;02/10/2025 17:00;17.2;1024.8;49.0;6.4;4.8;161.0;0.0;0
000CT;02/10/2025 18:00;16.6;1024.9;52.0;6.7;4.8;117.0;0.0;0
000CT;02/10/2025 19:00;16.1;1024.8;55.0;7.0;3.2;130.0;0.0;0
000CT;02/10/2025 20:00;15.6;1024.4;55.0;6.6;4.8;141.0;0.0;0
000CT;02/10/2025 21:00;15.2;1024.3;56.0;6.4;3.2;164.0;0.0;0
000CT;02/10/2025 22:00;14.9;1023.2;58.0;6.7;4.8;140.0;0.0;0
000CT;02/10/2025 23:00;14.6;1022.7;60.0;6.9;3.2;150.0;0.0;0
000CT;03/10/2025 00:00;14.4;1022.7;61.0;7.0;3.2;167.0;0.0;0
000CT;03/10/2025 01:00;14.1;1021.9;62.0;6.9;6.4;163.0;0.0;0
000CT;03/10/2025 02:00;13.8;1022.2;64.0;7.1;1.6;223.0;0.0;0
000CT;03/10/2025 03:00;13.7;1021.6;65.0;7.3;1.6;165.0;0.0;0
000CT;03/10/2025 04:00;13.6;1020.8;66.0;7.3;3.2;146.0;0.0;0
000CT;03/10/2025 05:00;13.2;1020.6;69.0;7.6;3.2;164.0;0.0;0
000CT;03/10/2025 06:00;12.8;1020.2;71.0;7.6;3.2;229.0;0.0;0
000CT;03/10/2025 07:00;13.1;1020.1;70.0;7.7;6.4;153.0;0.0;0
000CT;03/10/2025 08:00;13.3;1020.0;69.0;7.7;3.2;175.0;0.0;0
000CT;03/10/2025 09:00;13.8;1019.5;66.0;7.6;6.4;168.0;0.0;0
000CT;03/10/2025 10:00;14.9;1019.0;64.0;8.1;6.4;188.0;0.0;0
000CT;03/10/2025 11:00;15.3;1018.8;63.0;8.3;4.8;169.0;0.0;0
000CT;03/10/2025 12:00;15.9;1018.3;63.0;8.9;4.8;178.0;0.0;0
000CT;03/10/2025 13:00;16.0;1017.7;69.0;10.3;1.6;155.0;0.0;0
000CT;03/10/2025 14:00;15.9;1016.9;72.0;10.8;6.4;134.0;0.2;1
000CT;03/10/2025 15:00;16.0;1016.3;75.0;11.6;6.4;169.0;0.2;1
000CT;03/10/2025 16:00;15.2;1016.0;84.0;12.5;6.4;180.0;0.8;1
000CT;03/10/2025 17:00;14.8;1015.8;89.0;13.0;8.0;192.0;1.2;1
000CT;03/10/2025 18:00;14.8;1015.6;90.0;13.2;6.4;184.0;1.4;1
000CT;03/10/2025 19:00;15.1;1014.9;91.0;13.7;8.0;137.0;0.4;1
000CT;03/10/2025 20:00;15.5;1014.4;91.0;14.0;8.0;166.0;0.2;1
000CT;03/10/2025 21:00;16.2;1013.2;92.0;14.9;6.4;166.0;0.0;0
000CT;03/10/2025 23:00;17.8;1010.8;91.0;16.3;8.0;153.0;0.0;0
000CT;04/10/2025 00:00;18.3;1009.8;90.0;16.7;11.3;182.0;0.0;0
000CT;04/10/2025 01:00;18.7;1008.8;88.0;16.7;9.7;180.0;0.0;0
000CT;04/10/2025 02:00;18.8;1008.1;87.0;16.6;12.9;5.0;0.0;0
000CT;04/10/2025 03:00;18.7;1006.7;88.0;16.6;12.9;196.0;0.0;0
000CT;04/10/2025 04:00;19.1;1005.2;85.0;16.5;16.1;214.0;0.0;0
000CT;04/10/2025 05:00;18.8;1004.8;86.0;16.4;9.7;247.0;0.2;1
000CT;04/10/2025 06:00;18.2;1003.8;89.0;16.4;11.3;202.0;0.2;1
000CT;04/10/2025 07:00;13.3;1006.9;89.0;11.6;17.7;340.0;3.8;1
000CT;04/10/2025 08:00;13.2;1007.5;88.0;11.3;11.3;257.0;1.8;1
000CT;04/10/2025 09:00;13.6;1008.0;88.0;11.6;6.4;317.0;0.4;1
000CT;04/10/2025 10:00;14.9;1008.4;72.0;9.9;14.5;232.0;0.0;0
000CT;04/10/2025 11:00;16.1;1009.3;56.0;7.3;17.7;360.0;0.2;1
000CT;04/10/2025 12:00;16.2;1010.0;53.0;6.6;19.3;254.0;0.0;0
000CT;04/10/2025 13:00;16.6;1010.1;54.0;7.2;16.1;302.0;0.0;0
000CT;04/10/2025 14:00;16.7;1010.8;48.0;5.6;12.9;254.0;0.0;0
000CT;04/10/2025 15:00;16.9;1011.1;49.0;6.1;11.3;289.0;0.0;0
000CT;04/10/2025 16:00;11.9;1012.0;80.0;8.5;9.7;294.0;1.2;1
000CT;04/10/2025 17:00;12.9;1012.9;65.0;6.5;19.3;265.0;0.4;1
000CT;04/10/2025 18:00;11.8;1013.3;73.0;7.1;4.8;232.0;0.0;0
000CT;04/10/2025 19:00;12.4;1013.8;76.0;8.3;4.8;234.0;0.0;0
000CT;04/10/2025 20:00;12.6;1014.6;75.0;8.3;6.4;204.0;0.0;0
000CT;04/10/2025 21:00;12.6;1015.5;74.0;8.1;4.8;297.0;0.0;0
000CT;04/10/2025 23:00;12.3;1016.2;76.0;8.2;4.8;254.0;0.0;0
000CT;05/10/2025 00:00;12.2;1016.3;76.0;8.1;6.4;248.0;0.0;0
000CT;05/10/2025 01:00;11.9;1016.6;77.0;8.0;6.4;264.0;0.0;0
000CT;05/10/2025 02:00;11.7;1016.4;78.0;8.0;4.8;205.0;0.0;0
000CT;05/10/2025 03:00;11.8;1016.8;77.0;7.9;6.4;255.0;0.0;0
000CT;05/10/2025 04:00;11.3;1016.8;80.0;8.0;3.2;232.0;0.0;0
000CT;05/10/2025 05:00;11.6;1017.2;79.0;8.1;11.3;300.0;0.0;0
000CT;05/10/2025 06:00;11.2;1018.1;83.0;8.4;4.8;233.0;0.2;1
000CT;05/10/2025 07:00;11.6;1018.6;83.0;8.8;4.8;213.0;0.0;0
000CT;05/10/2025 08:00;12.3;1019.5;79.0;8.7;3.2;296.0;0.0;0
000CT;05/10/2025 09:00;13.6;1020.0;75.0;9.3;6.4;279.0;0.0;0
000CT;05/10/2025 10:00;14.9;1020.4;70.0;9.5;11.3;274.0;0.0;0
000CT;05/10/2025 11:00;15.8;1020.6;63.0;8.7;11.3;271.0;0.0;0
000CT;05/10/2025 12:00;16.2;1021.1;60.0;8.4;11.3;328.0;0.0;0
000CT;05/10/2025 13:00;17.4;1020.8;52.0;7.4;12.9;351.0;0.0;0
000CT;05/10/2025 14:00;16.7;1021.1;61.0;9.2;11.3;281.0;0.0;0
000CT;05/10/2025 15:00;16.5;1021.4;61.0;8.9;11.3;294.0;0.0;0
000CT;05/10/2025 16:00;15.8;1022.1;67.0;9.7;11.3;303.0;0.0;0
000CT;05/10/2025 17:00;15.4;1022.8;67.0;9.3;6.4;325.0;0.0;0
000CT;05/10/2025 18:00;14.7;1023.4;70.0;9.3;3.2;281.0;0.0;0
000CT;05/10/2025 19:00;14.4;1024.4;69.0;8.8;3.2;325.0;0.0;0
000CT;05/10/2025 20:00;13.9;1025.1;71.0;8.8;4.8;315.0;0.0;0
000CT;05/10/2025 21:00;13.7;1025.6;71.0;8.6;1.6;281.0;0.0;0
000CT;05/10/2025 23:00;13.0;1026.2;73.0;8.3;6.4;281.0;0.0;0
000CT;06/10/2025 00:00;12.7;1026.5;77.0;8.7;1.6;331.0;0.0;0
000CT;06/10/2025 01:00;12.3;1026.7;78.0;8.6;1.6;272.0;0.0;0
000CT;06/10/2025 02:00;12.3;1026.5;80.0;8.9;0.0;248.0;0.0;0
000CT;06/10/2025 03:00;12.6;1026.3;80.0;9.2;4.8;292.0;0.0;0
000CT;06/10/2025 04:00;12.4;1026.9;80.0;9.1;1.6;300.0;0.0;0
000CT;06/10/2025 05:00;12.1;1027.5;81.0;8.9;0.0;240.0;0.0;0
000CT;06/10/2025 06:00;11.8;1027.8;82.0;8.8;0.0;328.0;0.0;0
000CT;06/10/2025 07:00;12.0;1028.1;82.0;9.0;0.0;180.0;0.0;0
000CT;06/10/2025 08:00;12.6;1028.8;80.0;9.2;0.0;264.0;0.0;0
000CT;06/10/2025 09:00;13.4;1029.0;78.0;9.7;0.0;237.0;0.0;0
000CT;06/10/2025 10:00;14.1;1029.2;76.0;9.9;3.2;266.0;0.0;0
000CT;06/10/2025 11:00;14.6;1029.3;76.0;10.4;0.0;256.0;0.0;0
000CT;06/10/2025 12:00;15.2;1029.2;75.0;10.8;0.0;259.0;0.0;0
000CT;06/10/2025 13:00;15.4;1028.9;72.0;10.4;1.6;293.0;0.0;0
000CT;06/10/2025 14:00;15.9;1028.6;69.0;10.3;0.0;321.0;0.0;0
000CT;06/10/2025 15:00;16.3;1028.2;69.0;10.6;0.0;223.0;0.0;0
000CT;06/10/2025 16:00;16.5;1028.3;68.0;10.6;0.0;331.0;0.0;0
000CT;06/10/2025 17:00;16.2;1028.3;68.0;10.3;4.8;297.0;0.0;0
000CT;06/10/2025 18:00;15.9;1028.3;69.0;10.2;0.0;266.0;0.0;0
000CT;06/10/2025 19:00;15.4;1028.6;71.0;10.2;1.6;277.0;0.0;0
000CT;06/10/2025 20:00;15.2;1028.8;73.0;10.4;0.0;303.0;0.0;0
000CT;06/10/2025 21:00;15.1;1029.1;71.0;9.8;0.0;250.0;0.0;0
000CT;06/10/2025 22:00;14.8;1028.7;71.0;9.6;0.0;296.0;0.0;0
000CT;06/10/2025 23:00;14.5;1028.7;74.0;9.9;0.0;24.0;0.0;0
000CT;07/10/2025 00:00;14.2;1028.6;75.0;9.9;0.0;24.0;0.0;0
000CT;07/10/2025 01:00;13.7;1028.3;78.0;10.0;0.0;24.0;0.0;0
000CT;07/10/2025 02:00;13.3;1027.9;80.0;9.9;0.0;24.0;0.0;0
000CT;07/10/2025 03:00;12.8;1027.7;83.0;10.0;0.0;126.0;0.0;0
000CT;07/10/2025 04:00;12.7;1027.7;83.0;9.9;0.0;127.0;0.0;0
000CT;07/10/2025 05:00;12.2;1027.7;85.0;9.8;0.0;96.0;0.0;0
000CT;07/10/2025 06:00;12.4;1027.8;86.0;10.2;0.0;109.0;0.0;0
000CT;07/10/2025 07:00;12.7;1028.2;85.0;10.3;0.0;121.0;0.0;0
000CT;07/10/2025 08:00;13.3;1028.5;83.0;10.5;0.0;84.0;0.0;0
000CT;07/10/2025 09:00;14.3;1028.4;78.0;10.5;0.0;178.0;0.0;0
000CT;07/10/2025 10:00;16.4;1028.1;71.0;11.2;0.0;129.0;0.0;0
000CT;07/10/2025 11:00;17.2;1027.8;66.0;10.8;1.6;173.0;0.0;0
000CT;07/10/2025 12:00;18.2;1027.0;62.0;10.8;3.2;248.0;0.0;0
000CT;07/10/2025 13:00;19.1;1026.5;60.0;11.1;1.6;169.0;0.0;0
000CT;07/10/2025 16:00;20.0;1025.2;59.0;11.7;0.0;128.0;0.0;0
000CT;07/10/2025 17:00;19.3;1025.2;63.0;12.1;0.0;136.0;0.0;0
000CT;07/10/2025 18:00;18.4;1025.1;68.0;12.4;1.6;150.0;0.0;0
000CT;07/10/2025 19:00;17.9;1025.2;72.0;12.8;4.8;189.0;0.0;0
000CT;07/10/2025 20:00;16.4;1025.1;79.0;12.8;4.8;120.0;0.0;0
000CT;07/10/2025 21:00;15.7;1025.1;81.0;12.5;4.8;184.0;0.0;0
000CT;07/10/2025 22:00;15.5;1025.1;81.0;12.3;0.0;140.0;0.0;0
000CT;07/10/2025 23:00;15.2;1024.8;82.0;12.2;0.0;155.0;0.0;0
000CT;08/10/2025 00:00;14.8;1024.8;83.0;12.0;0.0;155.0;0.0;0
000CT;08/10/2025 01:00;14.5;1024.6;84.0;11.8;0.0;117.0;0.0;0
000CT;08/10/2025 02:00;14.0;1024.5;86.0;11.7;3.2;341.0;0.0;0
000CT;08/10/2025 03:00;13.7;1023.8;87.0;11.5;0.0;67.0;0.0;0
000CT;08/10/2025 04:00;13.5;1023.5;87.0;11.4;0.0;28.0;0.0;0
000CT;08/10/2025 05:00;13.1;1023.7;88.0;11.1;3.2;355.0;0.0;0
000CT;08/10/2025 06:00;12.5;1023.9;89.0;10.7;4.8;42.0;0.0;0
000CT;08/10/2025 07:00;12.1;1024.5;90.0;10.5;6.4;27.0;0.0;0
000CT;08/10/2025 08:00;12.1;1024.4;90.0;10.5;6.4;344.0;0.0;0
000CT;08/10/2025 09:00;13.0;1024.8;89.0;11.2;4.8;11.0;0.0;0
000CT;08/10/2025 10:00;13.3;1024.9;89.0;11.6;4.8;305.0;0.0;0
000CT;08/10/2025 11:00;14.0;1024.6;88.0;12.0;4.8;329.0;0.0;0
000CT;08/10/2025 12:00;15.1;1024.5;84.0;12.4;1.6;341.0;0.0;0
000CT;08/10/2025 13:00;16.1;1024.3;74.0;11.5;3.2;304.0;0.0;0
000CT;08/10/2025 14:00;16.8;1023.9;71.0;11.5;4.8;302.0;0.0;0
000CT;08/10/2025 15:00;16.9;1023.8;67.0;10.7;6.4;57.0;0.0;0
000CT;08/10/2025 16:00;16.7;1024.1;68.0;10.7;9.7;54.0;0.0;0
000CT;08/10/2025 17:00;16.6;1024.6;69.0;10.8;4.8;22.0;0.0;0
000CT;08/10/2025 18:00;16.0;1024.8;71.0;10.7;6.4;42.0;0.0;0
000CT;08/10/2025 19:00;15.7;1025.1;72.0;10.7;4.8;19.0;0.0;0
000CT;08/10/2025 20:00;15.5;1025.5;74.0;10.9;3.2;19.0;0.0;0
000CT;08/10/2025 21:00;15.4;1026.1;74.0;10.8;6.4;331.0;0.0;0
000CT;08/10/2025 22:00;15.3;1026.2;76.0;11.1;6.4;11.0;0.0;0
000CT;08/10/2025 23:00;15.3;1026.3;75.0;10.9;6.4;360.0;0.0;0
000CT;09/10/2025 00:00;15.2;1026.2;75.0;10.8;3.2;5.0;0.0;0
000CT;09/10/2025 01:00;15.1;1026.5;75.0;10.7;4.8;9.0;0.0;0
000CT;09/10/2025 02:00;15.0;1026.1;76.0;10.8;3.2;12.0;0.0;0
000CT;09/10/2025 03:00;14.8;1026.2;78.0;11.0;6.4;47.0;0.0;0
000CT;09/10/2025 04:00;14.6;1026.4;80.0;11.2;6.4;5.0;0.0;0
000CT;09/10/2025 05:00;14.3;1026.6;84.0;11.6;4.8;319.0;0.0;0
000CT;09/10/2025 06:00;14.2;1027.2;84.0;11.5;9.7;13.0;0.0;0
000CT;09/10/2025 07:00;14.3;1027.6;83.0;11.5;4.8;330.0;0.0;0
000CT;09/10/2025 10:00;16.2;1028.6;73.0;11.4;4.8;333.0;0.0;0
000CT;09/10/2025 11:00;17.4;1028.5;66.0;11.0;3.2;25.0;0.0;0
000CT;09/10/2025 12:00;17.5;1028.2;61.0;9.9;9.7;98.0;0.0;0
000CT;09/10/2025 13:00;18.3;1027.9;58.0;9.9;6.4;355.0;0.0;0
000CT;09/10/2025 14:00;18.5;1027.9;56.0;9.6;6.4;67.0;0.0;0
000CT;09/10/2025 15:00;19.1;1028.3;56.0;10.1;3.2;336.0;0.0;0
000CT;09/10/2025 16:00;18.4;1028.7;60.0;10.5;8.0;329.0;0.0;0
000CT;09/10/2025 17:00;18.2;1028.9;62.0;10.8;6.4;313.0;0.0;0
000CT;09/10/2025 18:00;18.1;1029.5;64.0;11.1;4.8;5.0;0.0;0
000CT;09/10/2025 19:00;17.8;1030.1;66.0;11.3;6.4;26.0;0.0;0
000CT;09/10/2025 20:00;17.4;1030.4;66.0;11.0;3.2;69.0;0.0;0
000CT;09/10/2025 21:00;17.2;1031.1;67.0;11.0;3.2;58.0;0.0;0
000CT;09/10/2025 22:00;16.5;1031.5;76.0;12.3;9.7;26.0;0.0;0
000CT;09/10/2025 23:00;15.3;1031.6;75.0;10.9;6.4;360.0;0.0;0
000CT;10/10/2025 00:00;14.4;1032.0;77.0;10.5;6.4;9.0;0.0;0
000CT;10/10/2025 01:00;13.9;1032.2;78.0;10.1;6.4;326.0;0.0;0
000CT;10/10/2025 02:00;13.5;1031.9;80.0;10.1;1.6;355.0;0.0;0
000CT;10/10/2025 03:00;13.1;1032.4;81.0;9.9;6.4;11.0;0.0;0
000CT;10/10/2025 04:00;12.6;1032.6;83.0;9.8;6.4;67.0;0.0;0
000CT;10/10/2025 05:00;12.6;1032.6;83.0;9.7;1.6;20.0;0.0;0
000CT;10/10/2025 06:00;12.1;1033.4;84.0;9.4;8.0;16.0;0.0;0
000CT;10/10/2025 07:00;12.2;1033.9;84.0;9.5;4.8;67.0;0.0;0
000CT;10/10/2025 08:00;12.6;1034.4;82.0;9.6;6.4;39.0;0.0;0
000CT;10/10/2025 09:00;13.4;1035.1;81.0;10.2;6.4;344.0;0.0;0
000CT;10/10/2025 10:00;14.0;1035.2;78.0;10.2;8.0;42.0;0.0;0
000CT;10/10/2025 11:00;14.1;1035.6;77.0;10.1;8.0;57.0;0.0;0
000CT;10/10/2025 12:00;13.9;1035.1;79.0;10.4;4.8;72.0;0.0;0
000CT;10/10/2025 13:00;13.7;1034.7;79.0;10.1;6.4;50.0;0.0;0
000CT;10/10/2025 14:00;14.3;1034.8;77.0;10.4;6.4;18.0;0.0;0
000CT;10/10/2025 15:00;14.2;1034.8;79.0;10.6;8.0;27.0;0.0;0
000CT;10/10/2025 16:00;14.1;1034.8;79.0;10.5;6.4;46.0;0.0;0
000CT;10/10/2025 17:00;14.4;1034.8;77.0;10.5;4.8;61.0;0.0;0
000CT;10/10/2025 18:00;14.1;1034.9;79.0;10.5;8.0;81.0;0.0;0
000CT;10/10/2025 19:00;13.9;1034.9;79.0;10.3;6.4;355.0;0.0;0
000CT;10/10/2025 20:00;13.6;1035.2;80.0;10.2;8.0;37.0;0.0;0
000CT;10/10/2025 21:00;13.4;1035.3;81.0;10.2;4.8;34.0;0.0;0
000CT;10/10/2025 22:00;13.0;1035.1;83.0;10.2;6.4;78.0;0.0;0
000CT;10/10/2025 23:00;12.8;1035.2;83.0;10.0;4.8;5.0;0.0;0
000CT;11/10/2025 00:00;12.7;1035.0;83.0;9.9;3.2;77.0;0.0;0
000CT;11/10/2025 01:00;12.5;1035.1;84.0;9.9;3.2;32.0;0.0;0
000CT;11/10/2025 02:00;12.6;1034.9;84.0;10.0;4.8;44.0;0.0;0
000CT;11/10/2025 03:00;12.7;1034.8;84.0;10.0;3.2;86.0;0.0;0
000CT;11/10/2025 04:00;12.7;1034.6;84.0;10.0;3.2;64.0;0.0;0
000CT;11/10/2025 05:00;12.8;1034.5;83.0;10.0;4.8;76.0;0.0;0
000CT;11/10/2025 06:00;12.4;1034.4;84.0;9.8;3.2;73.0;0.0;0
000CT;11/10/2025 07:00;12.5;1034.7;84.0;9.9;3.2;25.0;0.0;0
000CT;11/10/2025 08:00;13.0;1035.0;81.0;9.8;8.0;54.0;0.0;0
000CT;11/10/2025 09:00;13.8;1035.1;79.0;10.2;4.8;58.0;0.0;0
000CT;11/10/2025 10:00;14.4;1034.8;78.0;10.7;6.4;340.0;0.0;0
000CT;11/10/2025 11:00;15.8;1034.5;74.0;11.2;4.8;61.0;0.0;0
000CT;11/10/2025 12:00;16.7;1033.9;71.0;11.4;4.8;17.0;0.0;0
000CT;11/10/2025 13:00;17.1;1033.2;71.0;11.8;8.0;71.0;0.0;0
000CT;11/10/2025 14:00;18.1;1032.9;68.0;12.1;6.4;27.0;0.0;0
000CT;11/10/2025 15:00;18.4;1032.6;68.0;12.4;8.0;350.0;0.0;0
000CT;11/10/2025 16:00;18.7;1032.3;68.0;12.6;6.4;360.0;0.0;0
000CT;11/10/2025 17:00;16.7;1032.5;75.0;12.2;11.3;38.0;0.0;0
000CT;11/10/2025 18:00;16.2;1032.4;76.0;11.9;6.4;54.0;0.0;0
000CT;11/10/2025 19:00;15.8;1032.5;78.0;11.9;3.2;360.0;0.0;0
000CT;11/10/2025 20:00;15.3;1032.4;80.0;11.8;4.8;355.0;0.0;0
000CT;11/10/2025 21:00;14.6;1032.5;81.0;11.3;6.4;15.0;0.0;0
000CT;11/10/2025 22:00;13.8;1032.4;83.0;10.9;4.8;5.0;0.0;0
000CT;11/10/2025 23:00;13.4;1032.1;84.0;10.7;3.2;27.0;0.0;0
000CT;12/10/2025 00:00;13.1;1031.9;84.0;10.5;3.2;40.0;0.0;0
000CT;12/10/2025 01:00;12.6;1031.8;85.0;10.2;6.4;347.0;0.0;0
000CT;12/10/2025 02:00;12.1;1031.3;86.0;9.8;4.8;57.0;0.0;0
000CT;12/10/2025 03:00;11.6;1031.1;87.0;9.5;4.8;335.0;0.0;0
000CT;12/10/2025 04:00;11.2;1030.9;87.0;9.1;6.4;45.0;0.0;0
000CT;12/10/2025 05:00;11.1;1030.7;88.0;9.1;4.8;355.0;0.0;0
000CT;12/10/2025 06:00;11.0;1030.5;88.0;9.1;6.4;24.0;0.0;0
000CT;12/10/2025 07:00;10.8;1030.9;88.0;8.9;6.4;48.0;0.0;0
000CT;12/10/2025 08:00;11.7;1030.9;86.0;9.5;4.8;17.0;0.0;0
000CT;12/10/2025 09:00;13.4;1030.8;80.0;10.1;4.8;66.0;0.0;0
000CT;12/10/2025 10:00;15.2;1030.8;74.0;10.6;6.4;98.0;0.0;0
000CT;12/10/2025 11:00;15.9;1030.4;72.0;10.9;8.0;26.0;0.0;0
000CT;12/10/2025 12:00;17.3;1030.0;66.0;10.9;6.4;93.0;0.0;0
000CT;12/10/2025 13:00;17.6;1029.7;65.0;11.0;9.7;60.0;0.0;0
000CT;12/10/2025 14:00;18.2;1029.3;63.0;11.0;9.7;41.0;0.0;0
000CT;12/10/2025 15:00;18.1;1029.0;63.0;10.9;9.7;59.0;0.0;0
000CT;12/10/2025 16:00;17.7;1028.9;65.0;11.0;9.7;39.0;0.0;0
000CT;12/10/2025 17:00;16.8;1029.0;69.0;11.1;8.0;38.0;0.0;0
000CT;12/10/2025 18:00;16.1;1029.1;72.0;11.0;6.4;5.0;0.0;0
000CT;12/10/2025 19:00;15.3;1028.9;74.0;10.7;4.8;28.0;0.0;0
000CT;12/10/2025 20:00;14.7;1029.1;75.0;10.3;8.0;46.0;0.0;0
000CT;12/10/2025 21:00;14.2;1029.2;76.0;10.0;4.8;67.0;0.0;0
000CT;12/10/2025 22:00;13.5;1029.2;78.0;9.7;6.4;360.0;0.0;0
000CT;12/10/2025 23:00;12.8;1029.0;80.0;9.5;6.4;14.0;0.0;0
000CT;13/10/2025 00:00;12.6;1028.7;81.0;9.4;4.8;20.0;0.0;0
000CT;13/10/2025 01:00;12.2;1028.5;82.0;9.2;8.0;65.0;0.0;0
000CT;13/10/2025 02:00;11.7;1028.1;83.0;8.9;4.8;106.0;0.0;0
000CT;13/10/2025 03:00;11.6;1028.0;83.0;8.8;6.4;5.0;0.0;0
000CT;13/10/2025 04:00;11.3;1028.0;84.0;8.7;6.4;75.0;0.0;0
000CT;13/10/2025 05:00;11.4;1027.7;84.0;8.8;6.4;42.0;0.0;0
000CT;13/10/2025 06:00;11.9;1027.7;84.0;9.3;6.4;58.0;0.0;0
000CT;13/10/2025 07:00;12.4;1027.8;84.0;9.8;3.2;34.0;0.0;0
000CT;13/10/2025 08:00;13.6;1027.7;82.0;10.5;9.7;98.0;0.0;0
000CT;13/10/2025 09:00;13.9;1028.1;80.0;10.5;9.7;101.0;0.0;0
000CT;13/10/2025 10:00;13.9;1027.8;82.0;10.9;4.8;73.0;0.0;0
000CT;13/10/2025 11:00;14.3;1027.8;81.0;11.1;6.4;67.0;0.0;0
000CT;13/10/2025 12:00;14.9;1027.2;80.0;11.5;6.4;71.0;0.0;0
000CT;13/10/2025 13:00;15.3;1026.9;79.0;11.7;8.0;337.0;0.0;0
000CT;13/10/2025 14:00;15.9;1026.5;77.0;11.9;6.4;26.0;0.0;0
000CT;13/10/2025 15:00;16.5;1026.1;76.0;12.3;8.0;360.0;0.0;0
000CT;13/10/2025 16:00;16.7;1025.9;77.0;12.7;8.0;15.0;0.0;0
000CT;13/10/2025 17:00;16.6;1026.0;77.0;12.5;9.7;16.0;0.0;0
000CT;13/10/2025 18:00;16.2;1026.1;78.0;12.4;6.4;327.0;0.0;0
000CT;13/10/2025 19:00;15.6;1026.0;81.0;12.4;4.8;46.0;0.0;0
000CT;13/10/2025 20:00;15.3;1026.2;82.0;12.2;4.8;38.0;0.0;0
